,stepsize_inv,omega,iterations,error
0,8,0.1,665,9.926566485896985e-11
1,8,0.2,326,9.533896077209803e-11
2,8,0.30000000000000004,213,9.075390987402553e-11
3,8,0.4,156,9.281345727577476e-11
4,8,0.5,122,9.033945017523432e-11
5,8,0.6,99,9.477042617477154e-11
6,8,0.7000000000000001,83,8.648614105890021e-11
7,8,0.8,71,7.768619352349911e-11
8,8,0.9,72,9.346837997749456e-11
9,8,1.0,238,9.235189169989163e-11
10,8,1.1,8132,
11,16,0.1,2999,9.986430611356104e-11
12,16,0.2,1493,9.894285465919193e-11
13,16,0.30000000000000004,991,9.795508379739787e-11
14,16,0.4,740,9.695804261452226e-11
15,16,0.5,589,9.76284055376073e-11
16,16,0.6,489,9.48446373445792e-11
17,16,0.7000000000000001,417,9.544727111952176e-11
18,16,0.8,363,9.60045054581196e-11
19,16,0.9,321,9.653444823031524e-11
20,16,1.0,1036,9.903252158935088e-11
21,16,1.1,4388,
22,32,0.1,12900,9.987940199834058e-11
23,32,0.2,6442,9.984153053198413e-11
24,32,0.30000000000000004,4290,9.973492561745769e-11
25,32,0.4,3214,9.96362732767177e-11
26,32,0.5,2569,9.900690125715046e-11
27,32,0.6,2138,9.954453734095073e-11
28,32,0.7000000000000001,1831,9.887228796264525e-11
29,32,0.8,1600,9.9446634392083e-11
30,32,0.9,1421,9.877888738688485e-11
31,32,1.0,4221,9.971997982963241e-11
32,32,1.1,4013,
33,64,0.1,53975,9.998860298752941e-11
34,64,0.2,26956,9.992000833450426e-11
35,64,0.30000000000000004,17960,9.993159816917983e-11
36,64,0.4,13465,9.996252684547756e-11
37,64,0.5,10769,9.998827655070442e-11
38,64,0.6,8971,9.991666563078772e-11
39,64,0.7000000000000001,7687,9.99961129492809e-11
40,64,0.8,6725,9.966668558613321e-11
41,64,0.9,5976,9.975825403236877e-11
42,64,1.0,100000,1.1405131089390265e-09
43,64,1.1,3942,
44,128,0.1,100000,0.0002966705452913027
45,128,0.2,100000,1.4448937321713324e-09
46,128,0.30000000000000004,74122,9.999131032240736e-11
47,128,0.4,55502,9.994477057802631e-11
48,128,0.5,44390,9.989637862935384e-11
49,128,0.6,36980,9.990989721175788e-11
50,128,0.7000000000000001,31687,9.96826636667066e-11
51,128,0.8,27721,9.991424627100252e-11
52,128,0.9,24641,9.974080414905671e-11
53,128,1.0,100000,2.8182246622136928e-08
54,128,1.1,3931,
55,256,0.1,100000,4.201490636568572
56,256,0.2,100000,0.2001671527175562
57,256,0.30000000000000004,100000,0.009615799712061975
58,256,0.4,100000,0.00046189136529750966
59,256,0.5,100000,2.2184733329396217e-05
60,256,0.6,100000,1.0654382865405764e-06
61,256,0.7000000000000001,100000,5.116619302911795e-08
62,256,0.8,100000,2.461149575255962e-09
63,256,0.9,100000,1.3571158293864174e-10
64,256,1.0,100000,5.2380109213783e-06
65,256,1.1,3935,
