,h,epsilon,iters,l_squared_error
0,0.125,1.0,9,0.06059912036280344
1,0.0625,1.0,17,0.02923110853191337
2,0.03125,1.0,33,0.01433552228424656
3,0.015625,1.0,65,0.007096046188472634
4,0.0078125,1.0,129,0.003529865322904427
5,0.00390625,1.0,257,0.0017347432389267566
6,0.125,0.01,9,0.3634803043810482
7,0.0625,0.01,17,0.2279408746536222
8,0.03125,0.01,33,0.13795839833719253
9,0.015625,0.01,65,0.07797517421495968
10,0.0078125,0.01,129,0.0414324050969307
11,0.00390625,0.01,257,0.021335237005512465
12,0.125,0.0001,9,0.39276478642843654
13,0.0625,0.0001,17,0.26430711085933967
14,0.03125,0.0001,33,0.18155450301617604
15,0.015625,0.0001,65,0.12611593218975628
16,0.0078125,0.0001,129,0.08794769348125325
17,0.00390625,0.0001,257,0.06117696639847004
18,0.125,1e-06,9,0.39307936719926834
19,0.0625,1e-06,17,0.2647271626433058
20,0.03125,1e-06,33,0.18213019326294316
21,0.015625,1e-06,65,0.12691518009029581
22,0.0078125,1e-06,129,0.08906214858557561
23,0.00390625,1e-06,257,0.06272713410515296
