,h,epsilon,iters,l_squared_error
0,0.125,1.0,9,0.03562182546624085
1,0.0625,1.0,17,0.06027750093606317
2,0.03125,1.0,33,0.07473268991249457
3,0.015625,1.0,65,0.08220158171542519
4,0.0078125,1.0,129,0.08600373897323317
5,0.00390625,1.0,257,0.08792724004968186
6,0.125,0.01,9,0.33505944567112816
7,0.0625,0.01,17,0.18786671610674352
8,0.03125,0.01,33,0.14384557627629357
9,0.015625,0.01,65,0.22570668396315477
10,0.0078125,0.01,129,0.3365530067316652
11,0.00390625,0.01,257,0.42790724442770706
12,0.125,0.0001,9,0.39250964690801554
13,0.0625,0.0001,17,0.26392471989857125
14,0.03125,0.0001,33,0.18097894265465572
15,0.015625,0.0001,65,0.1251922434874609
16,0.0078125,0.0001,129,0.08630326420472179
17,0.00390625,0.0001,257,0.0586216214811778
18,0.125,1e-06,9,0.3930768231297578
19,0.0625,1e-06,17,0.26472338475616175
20,0.03125,1e-06,33,0.18212470006512604
21,0.015625,1e-06,65,0.1269072852286314
22,0.0078125,1e-06,129,0.08905083053482853
23,0.00390625,1e-06,257,0.06271068588128406
