,h,epsilon,iters,restart,l_squared_error
0,0.125,1.0,9,5,0.06059912036280344
1,0.125,1.0,9,10,0.06059912036280344
2,0.125,1.0,9,20,0.06059912036280344
3,0.125,1.0,9,30,0.06059912036280344
4,0.125,1.0,9,40,0.06059912036280344
5,0.125,1.0,9,50,0.06059912036280344
6,0.0625,1.0,17,5,0.02923110853191337
7,0.0625,1.0,17,10,0.02923110853191337
8,0.0625,1.0,17,20,0.02923110853191337
9,0.0625,1.0,17,30,0.02923110853191337
10,0.0625,1.0,17,40,0.02923110853191337
11,0.0625,1.0,17,50,0.02923110853191337
12,0.03125,1.0,52,5,0.014285612241986698
13,0.03125,1.0,52,10,0.014285612241986698
14,0.03125,1.0,52,20,0.014285612241986698
15,0.03125,1.0,52,30,0.014285612241986698
16,0.03125,1.0,52,40,0.014285612241986698
17,0.03125,1.0,52,50,0.014285612241986698
18,0.015625,1.0,285,5,0.007006119480871905
19,0.015625,1.0,285,10,0.007006119480871905
20,0.015625,1.0,285,20,0.007006119480871905
21,0.015625,1.0,285,30,0.007006119480871905
22,0.015625,1.0,285,40,0.007006119480871905
23,0.015625,1.0,285,50,0.007006119480871905
24,0.0078125,1.0,1000,5,0.0033128629771188127
25,0.0078125,1.0,1000,10,0.0033128629771188127
26,0.0078125,1.0,1000,20,0.0033128629771188127
27,0.0078125,1.0,1000,30,0.0033128629771188127
28,0.0078125,1.0,1000,40,0.0033128629771188127
29,0.0078125,1.0,1000,50,0.0033128629771188127
30,0.00390625,1.0,1000,5,0.018490974056589157
31,0.00390625,1.0,1000,10,0.018490974056589157
32,0.00390625,1.0,1000,20,0.018490974056589157
33,0.00390625,1.0,1000,30,0.018490974056589157
34,0.00390625,1.0,1000,40,0.018490974056589157
35,0.00390625,1.0,1000,50,0.018490974056589157
36,0.125,0.01,9,5,0.3634803043810482
37,0.125,0.01,9,10,0.3634803043810482
38,0.125,0.01,9,20,0.3634803043810482
39,0.125,0.01,9,30,0.3634803043810482
40,0.125,0.01,9,40,0.3634803043810482
41,0.125,0.01,9,50,0.3634803043810482
42,0.0625,0.01,17,5,0.2279408746536222
43,0.0625,0.01,17,10,0.2279408746536222
44,0.0625,0.01,17,20,0.2279408746536222
45,0.0625,0.01,17,30,0.2279408746536222
46,0.0625,0.01,17,40,0.2279408746536222
47,0.0625,0.01,17,50,0.2279408746536222
48,0.03125,0.01,61,5,0.13806130575962738
49,0.03125,0.01,61,10,0.13806130575962738
50,0.03125,0.01,61,20,0.13806130575962738
51,0.03125,0.01,61,30,0.13806130575962738
52,0.03125,0.01,61,40,0.13806130575962738
53,0.03125,0.01,61,50,0.13806130575962738
54,0.015625,0.01,94,5,0.07793585708887803
55,0.015625,0.01,94,10,0.07793585708887803
56,0.015625,0.01,94,20,0.07793585708887803
57,0.015625,0.01,94,30,0.07793585708887803
58,0.015625,0.01,94,40,0.07793585708887803
59,0.015625,0.01,94,50,0.07793585708887803
60,0.0078125,0.01,163,5,0.04141601876741155
61,0.0078125,0.01,163,10,0.04141601876741155
62,0.0078125,0.01,163,20,0.04141601876741155
63,0.0078125,0.01,163,30,0.04141601876741155
64,0.0078125,0.01,163,40,0.04141601876741155
65,0.0078125,0.01,163,50,0.04141601876741155
66,0.00390625,0.01,300,5,0.021331351052037668
67,0.00390625,0.01,300,10,0.021331351052037668
68,0.00390625,0.01,300,20,0.021331351052037668
69,0.00390625,0.01,300,30,0.021331351052037668
70,0.00390625,0.01,300,40,0.021331351052037668
71,0.00390625,0.01,300,50,0.021331351052037668
72,0.125,0.0001,9,5,0.39276478642843654
73,0.125,0.0001,9,10,0.39276478642843654
74,0.125,0.0001,9,20,0.39276478642843654
75,0.125,0.0001,9,30,0.39276478642843654
76,0.125,0.0001,9,40,0.39276478642843654
77,0.125,0.0001,9,50,0.39276478642843654
78,0.0625,0.0001,17,5,0.26430711085933967
79,0.0625,0.0001,17,10,0.26430711085933967
80,0.0625,0.0001,17,20,0.26430711085933967
81,0.0625,0.0001,17,30,0.26430711085933967
82,0.0625,0.0001,17,40,0.26430711085933967
83,0.0625,0.0001,17,50,0.26430711085933967
84,0.03125,0.0001,33,5,0.18158130139291587
85,0.03125,0.0001,33,10,0.18158130139291587
86,0.03125,0.0001,33,20,0.18158130139291587
87,0.03125,0.0001,33,30,0.18158130139291587
88,0.03125,0.0001,33,40,0.18158130139291587
89,0.03125,0.0001,33,50,0.18158130139291587
90,0.015625,0.0001,65,5,0.12611593089899995
91,0.015625,0.0001,65,10,0.12611593089899995
92,0.015625,0.0001,65,20,0.12611593089899995
93,0.015625,0.0001,65,30,0.12611593089899995
94,0.015625,0.0001,65,40,0.12611593089899995
95,0.015625,0.0001,65,50,0.12611593089899995
96,0.0078125,0.0001,129,5,0.08794769179058792
97,0.0078125,0.0001,129,10,0.08794769179058792
98,0.0078125,0.0001,129,20,0.08794769179058792
99,0.0078125,0.0001,129,30,0.08794769179058792
100,0.0078125,0.0001,129,40,0.08794769179058792
101,0.0078125,0.0001,129,50,0.08794769179058792
102,0.00390625,0.0001,257,5,0.06117696185950987
103,0.00390625,0.0001,257,10,0.06117696185950987
104,0.00390625,0.0001,257,20,0.06117696185950987
105,0.00390625,0.0001,257,30,0.06117696185950987
106,0.00390625,0.0001,257,40,0.06117696185950987
107,0.00390625,0.0001,257,50,0.06117696185950987
108,0.125,1e-06,9,5,0.39307936719926834
109,0.125,1e-06,9,10,0.39307936719926834
110,0.125,1e-06,9,20,0.39307936719926834
111,0.125,1e-06,9,30,0.39307936719926834
112,0.125,1e-06,9,40,0.39307936719926834
113,0.125,1e-06,9,50,0.39307936719926834
114,0.0625,1e-06,17,5,0.2647271626433058
115,0.0625,1e-06,17,10,0.2647271626433058
116,0.0625,1e-06,17,20,0.2647271626433058
117,0.0625,1e-06,17,30,0.2647271626433058
118,0.0625,1e-06,17,40,0.2647271626433058
119,0.0625,1e-06,17,50,0.2647271626433058
120,0.03125,1e-06,33,5,0.18213046359949364
121,0.03125,1e-06,33,10,0.18213046359949364
122,0.03125,1e-06,33,20,0.18213046359949364
123,0.03125,1e-06,33,30,0.18213046359949364
124,0.03125,1e-06,33,40,0.18213046359949364
125,0.03125,1e-06,33,50,0.18213046359949364
126,0.015625,1e-06,65,5,0.12691518009029576
127,0.015625,1e-06,65,10,0.12691518009029576
128,0.015625,1e-06,65,20,0.12691518009029576
129,0.015625,1e-06,65,30,0.12691518009029576
130,0.015625,1e-06,65,40,0.12691518009029576
131,0.015625,1e-06,65,50,0.12691518009029576
132,0.0078125,1e-06,129,5,0.08906214858557543
133,0.0078125,1e-06,129,10,0.08906214858557543
134,0.0078125,1e-06,129,20,0.08906214858557543
135,0.0078125,1e-06,129,30,0.08906214858557543
136,0.0078125,1e-06,129,40,0.08906214858557543
137,0.0078125,1e-06,129,50,0.08906214858557543
138,0.00390625,1e-06,257,5,0.06272713410587426
139,0.00390625,1e-06,257,10,0.06272713410587426
140,0.00390625,1e-06,257,20,0.06272713410587426
141,0.00390625,1e-06,257,30,0.06272713410587426
142,0.00390625,1e-06,257,40,0.06272713410587426
143,0.00390625,1e-06,257,50,0.06272713410587426
